scale,BF_int_incl,BF_test_incl,BF_trial_incl
0.05,0.7702228824218322,0.8874021635328231,0.7203258528623674
0.1,0.5762988162000862,0.8380933715665212,0.5422722231027526
0.15000000000000002,0.48247657556360923,0.7705185156415093,0.4553478614218893
0.2,0.3613461797022944,0.7386426095870019,0.35470861158536204
0.25,0.30458656731237216,0.6692917388202818,0.29551128539836413
0.3,0.23921953261894233,0.6558174084404381,0.2652702734552937
0.35000000000000003,0.19381068620904685,0.5884200393066038,0.22114544972616418
0.4,0.17808753650955758,0.5603960458179468,0.20443133018528523
0.45,0.1338412503519611,0.527396995387338,0.1730725127612114
0.5,0.11555108456056393,0.4968919009963589,0.16116972746347202
0.55,0.09917901339307843,0.47340853745598865,0.14269041475983296
0.6000000000000001,0.08602936660422728,0.4637946093948162,0.13452270682418815
0.6500000000000001,0.07910858541620634,0.43873644743158513,0.1226961875289604
0.7000000000000001,0.06201130691892599,0.4094421835136585,0.11169334294998867
0.7500000000000001,0.054464467303723764,0.42205538276455806,0.10161854214074294
0.8,0.049762292127603774,0.3865569320399294,0.09651086297805364
0.8500000000000001,0.04245422633028243,0.3750789678374573,0.09009486395941836
0.9000000000000001,0.037956505606812234,0.3476447646842995,0.08486890995952702
0.9500000000000001,0.03583717031604385,0.316734004041728,0.08453665098743753
1,0.02880973942240437,0.3281680168148974,0.07520445427606373
1.05,0.02787913753445022,0.31404485483514394,0.07172818105499726
1.1,0.0242910200368816,0.29682897869661207,0.06709133356394946
1.1500000000000001,0.02034258035447517,0.2834388801408656,0.06473338032739849
1.2000000000000002,0.02030677265738054,0.2737249074931505,0.061766265596608076
1.2500000000000002,0.01839899548449367,0.2737003589985947,0.05950155959731984
1.3,0.01555883585331005,0.2610102521433036,0.05789916847412262
1.35,0.015336956469049806,0.23950179364983737,0.05408903358510327
1.4000000000000001,0.01327033596155528,0.22837300884132178,0.05154849541325116
1.4500000000000002,0.013423507243728813,0.23391130311218716,0.051078707164847435
1.5,0.012391675267529208,0.21696885495410206,0.05251908337382226
