Models,test,trial,interaction,p_M,p_M_givenData,BF_M,BF_10,interpret
Null Model,0,0,0,0.2,0.7046949295852465,9.54531432319138,0.9836974379759816,anecdotal evidence against
test model,1,0,0,0.2,0.1709243483111113,0.8246501894630519,0.2521809079043998,moderate evidence against
trial model,0,1,0,0.2,0.09469187406741977,0.4183851723185422,0.13763140867259627,moderate evidence against
test + trial,1,1,0,0.2,0.02430170521749608,0.09962794994087082,0.033334111154423175,strong evidence against
test * trial,1,1,1,0.2,0.005387142818740171,0.02166528526086974,0.007587626723791406,extreme evidence against
