scale,BF_int_incl,BF_test_incl,BF_trial_incl
0.05,0.6415913953435606,0.7891200503020177,0.6802881763834258
0.1,0.4271652528781416,0.601009960897508,0.5001331312712777
0.15000000000000002,0.2973017535971141,0.5051501822029008,0.3835851089805874
0.2,0.22079375609452628,0.4493859103294279,0.30056104988668403
0.25,0.16401301835072557,0.3729889837447716,0.26176045548361726
0.3,0.12865316556004458,0.34885109923583874,0.22061148422503316
0.35000000000000003,0.09725656767839988,0.30638430635936953,0.19246712158203189
0.4,0.0756338324193823,0.2804452573228814,0.17185318298627675
0.45,0.06037923095294978,0.2476818025591817,0.15101888678726225
0.5,0.047442567603652286,0.21753083973476958,0.1301320657731019
0.55,0.03878554281893288,0.20839993762662104,0.12029119401012617
0.6000000000000001,0.03029951741168909,0.19618111543893746,0.1090028657329676
0.6500000000000001,0.027345856974660913,0.1827872544713135,0.10052638499338064
0.7000000000000001,0.02186772541941888,0.16603326792804493,0.09537385945339595
0.7500000000000001,0.019781717954479597,0.16613458254795613,0.09083546908689952
0.8,0.01643498536447235,0.1572524284300598,0.08381311164811439
0.8500000000000001,0.01513854841033416,0.1419407082910666,0.0772076305835364
0.9000000000000001,0.012733987711975767,0.14038435629358234,0.07616011564933159
0.9500000000000001,0.010985950663424497,0.13208207799435184,0.06963447806321821
1,0.00953282643100406,0.12414570044879696,0.06693998067672967
1.05,0.009117101862718704,0.11871208815736434,0.06640536048324083
1.1,0.007392812029367535,0.11348208765479045,0.06379451522192207
1.1500000000000001,0.006719003779063572,0.10968074223509136,0.06016952290190105
1.2000000000000002,0.005812910512970993,0.10723050656168436,0.05501565606625027
1.2500000000000002,0.005442110217527467,0.09977926908606453,0.0524741193467121
1.3,0.004676103279609974,0.09440487987235902,0.048223288588753965
1.35,0.004252693288926878,0.09595946828888444,0.04656657563944752
1.4000000000000001,0.003998621236507735,0.092745367489758,0.04798942679346453
1.4500000000000002,0.0036461701813301057,0.08705880998110933,0.04622674306137768
1.5,0.003283435299802427,0.08121132707840138,0.04532959491912931
